Date,Open,High,Low,Close,Adj Close,Volume
2022-04-20,265.246979,267.601715,263.785828,264.364288,264.364288,88809
2022-04-21,264.364288,272.823517,260.810333,263.346344,263.346344,94182
2022-04-22,263.346283,265.833923,260.812164,260.812195,260.812195,104841
2022-04-23,260.812225,263.186371,256.679688,257.250244,257.250244,76393
2022-04-24,257.250244,258.998688,249.686020,252.920700,252.920700,66495
2022-04-25,252.920700,255.160416,249.933014,253.039703,253.039703,96242
2022-04-26,253.039642,256.041443,251.681854,253.701508,253.701508,97659
2022-04-27,253.701508,253.730331,245.640503,245.640610,245.640610,67375
2022-04-28,245.640610,259.866272,245.575394,252.911469,252.911469,131061
2022-04-29,252.911438,258.047485,249.850143,250.502960,250.502960,76843
2022-04-30,250.502991,251.871536,245.527817,246.221237,246.221237,22468
2022-05-01,246.221222,254.523193,245.393555,252.955231,252.955231,39925
2022-05-02,252.955231,257.632294,241.864182,249.899109,249.899109,24778
2022-05-03,249.899063,254.369446,246.304657,250.853516,250.853516,21775
2022-05-04,251.022827,256.388855,237.797638,248.455338,248.455338,58798
2022-05-05,248.455276,248.604584,232.817947,233.658554,233.658554,90993
2022-05-06,233.658554,234.119232,210.573898,218.977707,218.977707,61591
2022-05-07,219.015900,226.792572,216.103714,220.116135,220.116135,49524
2022-05-08,220.116119,220.391220,206.572861,206.841888,206.841888,54070
2022-05-09,206.841888,209.417130,194.110657,195.296524,195.296524,108117
2022-05-10,195.280197,201.088318,172.584686,172.624619,172.624619,105223
2022-05-11,172.653610,185.435989,156.048828,176.274689,176.274689,85406
2022-05-12,176.209442,181.796692,175.481720,175.555420,175.555420,70994
2022-05-13,175.537216,200.534348,175.304031,187.083786,187.083786,75166
2022-05-14,187.083786,207.926407,187.083786,204.751724,204.751724,172003
2022-05-15,204.751724,206.347382,196.424728,196.982407,196.982407,46848
2022-05-16,196.982422,202.422272,178.758682,184.526840,184.526840,36402
2022-05-17,184.526840,192.417709,180.937759,189.230179,189.230179,60014
2022-05-18,189.230164,191.321381,183.113297,184.499237,184.499237,50244
2022-05-19,184.504791,189.523071,177.963135,184.462448,184.462448,53706
2022-05-20,184.462463,190.086700,182.914047,186.161453,186.161453,71578
2022-05-21,186.161453,191.024551,186.161453,190.986679,190.986679,64136
2022-05-22,190.986343,191.611023,187.200455,188.780975,188.780975,74538
2022-05-23,188.781067,200.481888,188.763077,189.958054,189.958054,77457
2022-05-24,189.957748,192.738144,188.688568,188.831970,188.831970,74619
2022-05-25,188.828262,192.878967,188.707062,189.161255,189.161255,88935
2022-05-26,189.161194,191.498535,188.021637,188.851669,188.851669,69025
2022-05-27,188.856750,191.182266,186.454224,188.502975,188.502975,59898
2022-05-28,188.933243,190.783524,186.936005,188.302094,188.302094,57457
2022-05-29,188.302094,190.801117,186.802017,186.931580,186.931580,50007
2022-05-30,186.931580,189.654129,185.560135,188.013367,188.013367,93914
2022-05-31,188.013367,192.298187,187.822495,190.202713,190.202713,77457
2022-06-01,190.202713,193.072067,189.919098,190.304276,190.304276,78926
2022-06-02,190.304276,198.196777,189.889725,194.309158,194.309158,95412
2022-06-03,194.309158,200.415161,194.307571,196.169220,196.169220,92739
2022-06-04,196.198517,199.432251,194.281082,197.880890,197.880890,58642
2022-06-05,197.880890,200.228378,197.413132,198.704178,198.704178,43586
2022-06-06,198.704178,200.685623,197.321976,197.750488,197.750488,80270
2022-06-07,197.750412,207.041595,197.027832,205.512085,205.512085,106193
2022-06-08,205.511185,240.014389,205.491577,232.050201,232.050201,146056
2022-06-09,232.050262,273.662811,229.870911,268.003235,268.003235,196777
2022-06-10,268.003265,307.314514,267.711639,287.048187,287.048187,259321
2022-06-11,287.034912,289.572205,222.868698,225.115082,225.115082,159463
2022-06-12,225.115082,245.257278,225.115082,239.220322,239.220322,73540
2022-06-13,239.220306,248.243225,237.391281,239.166031,239.166031,101670
2022-06-14,239.293671,240.101501,223.275803,224.782471,224.782471,111699
2022-06-15,224.782471,227.363724,210.584183,219.478348,219.478348,86124
2022-06-16,219.478348,221.989471,209.396164,210.877426,210.877426,58703
2022-06-17,210.877426,220.501434,209.914322,213.154007,213.154007,84173
2022-06-18,213.154007,220.287552,213.107117,214.515549,214.515549,67092
2022-06-19,214.515549,215.625610,208.959976,213.768570,213.768570,91583
2022-06-20,213.768570,216.024582,211.087494,211.247498,211.247498,70726
2022-06-21,211.247498,215.965485,211.225052,212.512314,212.512314,95080
2022-06-22,212.512314,215.634811,212.502396,213.157944,213.157944,80912
2022-06-23,213.157944,215.326385,212.474091,212.591949,212.591949,59107
2022-06-24,212.591949,214.115204,210.272491,210.951874,210.951874,66014
2022-06-25,210.951950,212.933914,210.038406,210.157501,210.157501,71277
2022-06-26,210.156876,210.156876,196.664429,197.160919,197.160919,84852
2022-06-27,197.161072,209.267303,196.769073,207.571182,207.571182,86345
2022-06-28,207.571243,208.720703,202.624496,204.009903,204.009903,91996
2022-06-29,204.009903,208.834747,203.741074,205.194809,205.194809,81689
2022-06-30,205.194809,207.733444,203.650436,206.580536,206.580536,91392
2022-07-01,206.580536,210.141205,203.720276,207.803864,207.803864,80432
2022-07-02,207.803864,209.873947,205.139877,205.273438,205.273438,40225
2022-07-03,205.273438,207.343475,201.467163,203.003021,203.003021,50865
2022-07-04,203.003021,208.461624,203.003021,206.108719,206.108719,84099
2022-07-05,206.108719,209.386002,203.854294,206.345261,206.345261,108110
2022-07-06,206.345261,219.802628,206.345245,215.191269,215.191269,92507
2022-07-07,215.212784,237.456177,215.121582,223.539368,223.539368,148208
2022-07-08,223.512939,227.324600,218.326965,220.806732,220.806732,96888
2022-07-09,220.806747,225.679718,219.403854,219.403870,219.403870,75799
2022-07-10,219.403870,221.807526,214.863602,216.666367,216.666367,64911
2022-07-11,216.666367,220.657883,214.916306,215.127625,215.127625,110956
2022-07-12,215.116165,219.227295,214.664749,216.682968,216.682968,92114
2022-07-13,216.682968,218.651550,214.519623,216.412827,216.412827,84250
2022-07-14,216.412827,219.254242,215.081085,219.252625,219.252625,88095
2022-07-15,219.252625,223.394989,216.995483,221.394455,221.394455,110589
2022-07-16,221.394455,226.588257,221.387070,226.321457,226.321457,71991
2022-07-17,226.321457,229.322067,222.720520,225.387802,225.387802,72460
2022-07-18,225.387802,227.288757,222.770294,224.845932,224.845932,70082
2022-07-19,224.845932,234.033508,224.111649,231.269974,231.269974,143803
2022-07-20,231.269974,233.809845,230.352448,230.833176,230.833176,91704
2022-07-21,230.833176,232.702728,223.760300,229.561447,229.561447,117472
2022-07-22,229.561447,233.675476,229.111877,232.473770,232.473770,104330
2022-07-23,232.473770,238.282532,232.473770,234.944351,234.944351,91757
2022-07-24,234.944351,246.359802,234.610535,242.153687,242.153687,110053
2022-07-25,242.153687,243.631058,238.281525,241.509720,241.509720,96245
2022-07-26,241.509720,270.343109,241.309601,263.571930,263.571930,165867
2022-07-27,263.571960,286.846313,258.497345,280.868286,280.868286,140612
2022-07-28,280.868286,320.924408,280.868286,287.261719,287.261719,172353
2022-07-29,287.079773,310.105927,287.079773,300.312561,300.312561,126647
2022-07-30,300.350037,305.222168,297.055023,301.104858,301.104858,108101
2022-07-31,301.104858,304.410461,265.568726,303.474640,303.474640,82320
2022-08-01,303.474640,303.474701,299.400299,301.249878,301.249878,117600
2022-08-02,301.186279,307.074554,297.372192,303.429321,303.429321,131477
2022-08-03,303.429291,320.109772,302.489563,317.014008,317.014008,171976
2022-08-04,317.014038,335.029022,313.976471,334.965637,334.965637,172371
2022-08-05,334.965637,354.545868,333.150330,354.478943,354.478943,240608
2022-08-06,354.413727,354.478943,340.425415,340.425415,340.425415,102953
2022-08-07,340.425415,341.228302,322.494415,331.192291,331.192291,104152
2022-08-08,331.192291,335.137054,324.294373,330.541229,330.541229,104885
2022-08-09,330.541229,336.011444,329.082611,330.013489,330.013489,118739
2022-08-10,330.002380,333.109100,325.168396,328.118713,328.118713,103770
